epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62973,1.79498,5.73752,1.38568,0,0,0,0,1.21637,5.60497,1.39771,0,0,0
2,13.7521,1.60052,5.71426,1.35063,0,0,0,0,1.23144,5.57297,1.37177,3.77377e-06,3.77377e-06,3.77377e-06
3,19.6246,1.97153,5.65727,1.55574,0,0,0,0,1.22004,5.55259,1.35086,7.39508e-06,7.39508e-06,7.39508e-06
4,25.1249,1.83273,5.60966,1.4264,0,0,0,0,1.16497,5.57967,1.33473,1.08639e-05,1.08639e-05,1.08639e-05
5,30.4568,1.44556,5.65274,1.26024,0,0,0,0,1.15213,5.55378,1.32574,1.41803e-05,1.41803e-05,1.41803e-05
6,35.7953,1.69811,5.72084,1.31646,0,0,0,0,1.10041,5.55331,1.31745,1.73443e-05,1.73443e-05,1.73443e-05
7,41.1727,1.13154,5.59471,1.12719,0,0,0,0,1.12039,5.46202,1.30489,2.03557e-05,2.03557e-05,2.03557e-05
8,46.703,1.82059,5.65185,1.44134,0,0,0,0,1.105,5.45955,1.30942,2.32147e-05,2.32147e-05,2.32147e-05
9,52.255,1.15727,5.48381,1.23946,0,0,0,0,1.19165,5.37069,1.26091,2.59213e-05,2.59213e-05,2.59213e-05
10,57.5811,1.24984,5.43894,1.16734,0,0,0,0,1.30162,5.29376,1.28729,2.84754e-05,2.84754e-05,2.84754e-05
11,62.8259,1.26273,5.34856,1.15089,0,0,0,0,1.3002,5.26923,1.26671,3.0877e-05,3.0877e-05,3.0877e-05
12,68.1539,1.21572,5.28909,1.14803,0,0,0,0,1.28469,5.19993,1.22157,3.31262e-05,3.31262e-05,3.31262e-05
13,73.46,1.27545,5.23271,1.17388,0,0,0,0,1.28524,5.17455,1.21788,3.52229e-05,3.52229e-05,3.52229e-05
14,79.5715,1.31637,5.23776,1.13772,0,0,0,0,1.29573,5.19565,1.22057,3.71671e-05,3.71671e-05,3.71671e-05
15,85.0693,1.1167,5.42899,1.04855,0,0,0,0,1.35834,5.1694,1.18294,3.89589e-05,3.89589e-05,3.89589e-05
16,90.3843,1.42528,5.31528,1.1805,0,0,0,0,1.3929,5.16711,1.12421,4.05982e-05,4.05982e-05,4.05982e-05
17,95.7408,1.15625,5.18196,1.11211,0,0,0,0,1.31081,5.15079,0.97939,4.20851e-05,4.20851e-05,4.20851e-05
18,101.009,1.24612,5.07304,1.07667,0,0,0,0,1.31081,5.15079,0.97939,4.34195e-05,4.34195e-05,4.34195e-05
19,106.609,1.19799,5.08115,0.99672,0,0,0,0,1.20376,5.09006,0.8996,4.46015e-05,4.46015e-05,4.46015e-05
20,111.952,1.20221,5.10974,0.98351,0,0,0,0,1.20376,5.09006,0.8996,4.5631e-05,4.5631e-05,4.5631e-05
21,117.412,1.26634,5.15382,1.01273,0,0,0,0,1.02992,5.06447,0.83815,4.6508e-05,4.6508e-05,4.6508e-05
22,122.774,1.18841,5.1008,1.02723,0,0,0,0,1.02992,5.06447,0.83815,4.72326e-05,4.72326e-05,4.72326e-05
23,128.289,1.34743,5.40826,1.14097,0,0,0,0,0.98086,5.02257,0.8188,4.78047e-05,4.78047e-05,4.78047e-05
24,133.728,1.53924,5.43219,1.21258,0,0,0,0,0.98086,5.02257,0.8188,4.82243e-05,4.82243e-05,4.82243e-05
25,139.13,1.258,5.12717,1.04032,0,0,0,0,0.89342,4.95091,0.82137,4.84915e-05,4.84915e-05,4.84915e-05
26,144.589,1.22484,5.19313,1.00182,0,0,0,0,0.89342,4.95091,0.82137,4.86062e-05,4.86062e-05,4.86062e-05
27,150.163,1.28986,4.8878,1.02371,0,0,0,0,0.90945,4.93302,0.82231,4.85685e-05,4.85685e-05,4.85685e-05
28,155.438,0.98165,5.15311,0.97239,0,0,0,0,0.90945,4.93302,0.82231,4.83783e-05,4.83783e-05,4.83783e-05
29,160.745,1.23611,4.94937,1.02043,0,0,0,0,0.9405,4.94666,0.83227,4.80357e-05,4.80357e-05,4.80357e-05
30,166.017,1.40531,5.02753,1.17266,0,0,0,0,0.9405,4.94666,0.83227,4.75406e-05,4.75406e-05,4.75406e-05
31,171.337,1.243,4.81333,1.0209,0,0,0,0,0.95576,4.97577,0.83725,4.6893e-05,4.6893e-05,4.6893e-05
32,176.664,1.1173,4.7606,0.98752,0,0,0,0,0.95576,4.97577,0.83725,4.6093e-05,4.6093e-05,4.6093e-05
33,182.065,1.39559,5.02174,1.09574,0,0,0,0,0.97046,5.01024,0.83186,4.51405e-05,4.51405e-05,4.51405e-05
34,187.305,1.19432,4.95215,0.99006,0,0,0,0,0.97046,5.01024,0.83186,4.40355e-05,4.40355e-05,4.40355e-05
35,192.791,1.15232,4.72786,0.99606,0,0,0,0,0.97678,5.03967,0.83262,4.27781e-05,4.27781e-05,4.27781e-05
