epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6176,1.71717,6.05892,1.38072,0,0,0,0,1.28656,5.60176,1.0897,0,0,0
2,22.3029,1.55895,6.21433,1.27262,0,0,0,0,1.33557,5.60126,1.11995,3.82459e-06,3.82459e-06,3.82459e-06
3,32.6032,1.81537,6.15584,1.54715,0,0,0,0,1.50532,5.53507,1.1928,7.59836e-06,7.59836e-06,7.59836e-06
4,42.1494,1.92963,5.95422,1.47922,0,0,0,0,1.35526,5.50363,1.098,1.13213e-05,1.13213e-05,1.13213e-05
5,51.3166,1.43077,5.96183,1.27689,0,0,0,0,1.24157,5.50547,1.06188,1.49934e-05,1.49934e-05,1.49934e-05
6,60.6562,1.73397,6.18329,1.34553,0,0,0,0,1.23257,5.56339,1.06793,1.86147e-05,1.86147e-05,1.86147e-05
7,70.2495,1.18675,6.11144,1.1557,0,0,0,0,1.20441,5.54256,1.05059,2.21852e-05,2.21852e-05,2.21852e-05
8,79.2513,1.60729,6.06728,1.36513,0,0,0,0,1.24743,5.63203,1.03777,2.57049e-05,2.57049e-05,2.57049e-05
9,88.5839,1.20523,5.9252,1.21364,0,0,0,0,1.20829,5.69079,1.03836,2.91738e-05,2.91738e-05,2.91738e-05
10,97.9192,1.26281,5.95884,1.10629,0,0,0,0,1.24063,5.63763,1.01635,3.25918e-05,3.25918e-05,3.25918e-05
11,107.163,1.25407,5.75733,1.04796,0,0,0,0,1.12887,5.51818,1.0164,3.5959e-05,3.5959e-05,3.5959e-05
12,116.658,1.31416,5.65622,1.11601,0,0,0,0,1.12212,5.55719,1.02062,3.92754e-05,3.92754e-05,3.92754e-05
13,125.814,1.1667,5.42926,1.08138,0,0,0,0,1.12516,5.47696,1.01196,4.2541e-05,4.2541e-05,4.2541e-05
14,135.669,1.30322,5.48777,1.12459,0,0,0,0,1.08901,5.37464,1.00095,4.57557e-05,4.57557e-05,4.57557e-05
15,144.826,1.16419,5.88391,1.04622,0,0,0,0,1.06635,5.40788,0.99823,4.89196e-05,4.89196e-05,4.89196e-05
16,153.939,1.44318,5.59833,1.11535,0,0,0,0,1.04395,5.44011,0.98806,5.20328e-05,5.20328e-05,5.20328e-05
17,163.064,1.12403,5.49252,1.02649,0,0,0,0,1.07924,5.36736,0.96745,5.5095e-05,5.5095e-05,5.5095e-05
18,172.698,1.23411,5.20786,1.0046,0,0,0,0,1.07924,5.36736,0.96745,5.81065e-05,5.81065e-05,5.81065e-05
19,181.793,1.23095,5.56925,1.04996,0,0,0,0,1.07917,5.37955,0.95059,6.10672e-05,6.10672e-05,6.10672e-05
20,190.549,1.03469,5.24681,0.97954,0,0,0,0,1.07917,5.37955,0.95059,6.3977e-05,6.3977e-05,6.3977e-05
21,199.819,1.17907,5.49857,0.99657,0,0,0,0,1.04746,5.37156,0.93065,6.6836e-05,6.6836e-05,6.6836e-05
22,209.01,1.23415,5.38542,1.05257,0,0,0,0,1.04746,5.37156,0.93065,6.96442e-05,6.96442e-05,6.96442e-05
23,217.956,1.35203,5.81329,1.07722,0,0,0,0,1.00753,5.29966,0.90777,7.24016e-05,7.24016e-05,7.24016e-05
24,226.797,1.2373,5.73403,0.99324,0,0,0,0,1.00753,5.29966,0.90777,7.51081e-05,7.51081e-05,7.51081e-05
25,235.71,1.1104,5.31443,0.97841,0,0,0,0,0.991,5.25992,0.88397,7.77638e-05,7.77638e-05,7.77638e-05
26,244.648,1.11792,5.38941,1.02108,0,0,0,0,0.991,5.25992,0.88397,8.03687e-05,8.03687e-05,8.03687e-05
27,253.554,1.21721,4.76165,1.0026,0,0,0,0,0.9796,5.21364,0.87251,8.29228e-05,8.29228e-05,8.29228e-05
28,262.85,0.94242,5.68399,0.92064,0,0,0,0,0.9796,5.21364,0.87251,8.54261e-05,8.54261e-05,8.54261e-05
29,272.461,1.21087,5.10101,0.96514,0,0,0,0,0.89977,5.31448,0.873,8.78786e-05,8.78786e-05,8.78786e-05
30,281.159,1.24932,5.04725,1.05872,0,0,0,0,0.89977,5.31448,0.873,9.02802e-05,9.02802e-05,9.02802e-05
31,290.683,1.23099,4.95068,1.05214,0,0,0,0,0.82371,5.30735,0.87036,9.2631e-05,9.2631e-05,9.2631e-05
32,299.616,1.10757,4.79198,0.93644,0,0,0,0,0.82371,5.30735,0.87036,9.4931e-05,9.4931e-05,9.4931e-05
33,308.396,1.14457,5.03345,0.99146,0,0,0,0,0.85266,5.16815,0.88342,9.71802e-05,9.71802e-05,9.71802e-05
34,317.677,1.15167,4.97251,0.91805,0,0,0,0,0.85266,5.16815,0.88342,9.93785e-05,9.93785e-05,9.93785e-05
35,326.622,1.18117,4.7323,0.97714,0.16667,0.16667,0.16583,0.14925,0.86434,5.15656,0.88533,0.000101526,0.000101526,0.000101526
36,336.131,0.99166,4.82114,0.92914,0.16667,0.16667,0.16583,0.14925,0.86434,5.15656,0.88533,0.000103623,0.000103623,0.000103623
37,345.282,1.22072,4.66071,1.00071,0.16667,0.16667,0.16583,0.16583,0.88643,5.12309,0.88375,0.000105669,0.000105669,0.000105669
38,354.191,1.06066,4.44273,0.92667,0.16667,0.16667,0.16583,0.16583,0.88643,5.12309,0.88375,0.000107664,0.000107664,0.000107664
39,363.224,1.00852,4.33266,0.93182,0.05556,0.16667,0.16583,0.14925,0.92702,5.11378,0.8801,0.000109608,0.000109608,0.000109608
40,371.928,1.04585,4.5117,0.89194,0.05556,0.16667,0.16583,0.14925,0.92702,5.11378,0.8801,0.000111501,0.000111501,0.000111501
41,381.284,1.24495,4.42062,1.03028,0.04167,0.16667,0.16583,0.14925,0.87967,5.08173,0.8731,0.000113344,0.000113344,0.000113344
42,390.462,1.20435,4.54969,0.96121,0.04167,0.16667,0.16583,0.14925,0.87967,5.08173,0.8731,0.000115136,0.000115136,0.000115136
43,399.83,1.35175,4.31498,1.0088,0.04167,0.16667,0.16583,0.14925,0.86195,5.04112,0.86215,0.000116877,0.000116877,0.000116877
44,408.675,1.14831,3.85152,0.93632,0.04167,0.16667,0.16583,0.14925,0.86195,5.04112,0.86215,0.000118567,0.000118567,0.000118567
45,417.946,1.1805,3.92291,0.92378,0.02778,0.16667,0.16583,0.13267,0.87754,5.00825,0.85488,0.000120206,0.000120206,0.000120206
46,427.875,1.08403,3.93195,0.98647,0.02778,0.16667,0.16583,0.13267,0.87754,5.00825,0.85488,0.000121795,0.000121795,0.000121795
47,442,1.12531,4.3147,0.96091,0.03333,0.16667,0.16583,0.11608,0.88089,4.9611,0.86027,0.000123332,0.000123332,0.000123332
48,452.72,1.06588,3.4779,0.8714,0.03333,0.16667,0.16583,0.11608,0.88089,4.9611,0.86027,0.000124819,0.000124819,0.000124819
49,463.281,0.99499,3.61734,0.89852,0.02083,0.16667,0.16583,0.13267,0.88661,4.90255,0.86681,0.000126255,0.000126255,0.000126255
50,473.506,1.28436,3.52096,0.98942,0.02083,0.16667,0.16583,0.13267,0.88661,4.90255,0.86681,0.000127641,0.000127641,0.000127641
51,488.985,1.03754,3.38821,0.93043,0.01852,0.16667,0.16583,0.14925,0.8499,4.83947,0.87934,0.000128975,0.000128975,0.000128975
52,504.206,0.91663,3.92561,0.93689,0.01852,0.16667,0.16583,0.14925,0.8499,4.83947,0.87934,0.000130259,0.000130259,0.000130259
53,532.712,1.06291,3.30545,0.91835,0.01852,0.16667,0.16583,0.14925,0.8499,4.83947,0.87934,0.000131491,0.000131491,0.000131491
54,552.339,1.05199,4.01637,0.94123,0.58355,0.16667,0.16583,0.14925,0.79142,4.76901,0.86934,0.000132673,0.000132673,0.000132673
55,565.2,1.02278,3.21713,0.93481,0.58355,0.16667,0.16583,0.14925,0.79142,4.76901,0.86934,0.000133804,0.000133804,0.000133804
56,577.683,1.22496,3.17224,0.94077,0.58355,0.16667,0.16583,0.14925,0.79142,4.76901,0.86934,0.000134885,0.000134885,0.000134885
57,588.69,1.10913,3.17961,0.9184,0.60572,0.16667,0.22111,0.20453,0.77179,4.74901,0.8704,0.000135914,0.000135914,0.000135914
58,599.975,1.1258,3.16937,0.96678,0.60572,0.16667,0.22111,0.20453,0.77179,4.74901,0.8704,0.000136893,0.000136893,0.000136893
59,614.19,1.19252,3.37114,0.94177,0.60572,0.16667,0.22111,0.20453,0.77179,4.74901,0.8704,0.000137821,0.000137821,0.000137821
60,627.223,0.90306,2.87859,0.90129,0.21389,0.5,0.38694,0.35378,0.80918,4.62256,0.87018,0.000138698,0.000138698,0.000138698
61,638.858,1.17044,2.95535,0.90421,0.21389,0.5,0.38694,0.35378,0.80918,4.62256,0.87018,0.000139524,0.000139524,0.000139524
62,651.964,1.09066,3.10119,0.86919,0.21389,0.5,0.38694,0.35378,0.80918,4.62256,0.87018,0.000140299,0.000140299,0.000140299
63,664.53,0.95967,2.84457,0.93747,0.13056,0.5,0.41458,0.36483,0.83608,4.53184,0.86214,0.000141024,0.000141024,0.000141024
64,678.898,0.99349,2.59811,0.92082,0.13056,0.5,0.41458,0.36483,0.83608,4.53184,0.86214,0.000141698,0.000141698,0.000141698
65,691.329,0.91971,2.9054,0.91986,0.13056,0.5,0.41458,0.36483,0.83608,4.53184,0.86214,0.000142321,0.000142321,0.000142321
66,703.982,1.11375,2.76789,0.913,0.12393,0.5,0.4975,0.41458,0.97279,4.42421,0.87706,0.000142893,0.000142893,0.000142893
