epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6804,1.54102,5.92735,1.40187,0,0,0,0,1.29107,5.7394,1.20973,1.428e-05,1.428e-05,1.428e-05
2,35.0372,1.6068,5.80638,1.37899,0,0,0,0,1.06556,5.66246,1.13583,3.18649e-05,3.18649e-05,3.18649e-05
3,51.53,1.48155,5.64423,1.31831,0,0,0,0,1.08112,5.64259,1.13098,4.91553e-05,4.91553e-05,4.91553e-05
4,68.6809,1.44121,5.72327,1.20821,0,0,0,0,1.1368,5.62342,1.13765,6.61512e-05,6.61512e-05,6.61512e-05
5,87.1664,1.51077,5.45695,1.22346,0,0,0,0,1.2511,5.55044,1.10568,8.28526e-05,8.28526e-05,8.28526e-05
6,105.975,1.36633,5.43523,1.2094,0,0,0,0,1.21897,5.56479,1.07589,9.92594e-05,9.92594e-05,9.92594e-05
7,123.381,1.31066,5.49159,1.16692,0,0,0,0,1.19308,5.58542,1.05397,0.000115372,0.000115372,0.000115372
8,142.557,1.35921,5.33357,1.08386,0,0,0,0,1.19308,5.58542,1.05397,0.000131189,0.000131189,0.000131189
9,160.615,1.2418,5.66619,1.07116,0,0,0,0,1.11582,5.64392,1.01321,0.000146713,0.000146713,0.000146713
10,178.675,1.35187,5.10758,1.1624,0,0,0,0,1.05918,5.45195,0.97423,0.000161941,0.000161941,0.000161941
11,195.953,1.29149,5.42702,1.08679,0,0,0,0,1.05918,5.45195,0.97423,0.000176876,0.000176876,0.000176876
12,212.317,1.15113,5.2781,1.04054,0,0,0,0,1.12967,5.39173,0.95898,0.000191515,0.000191515,0.000191515
13,230.527,1.18663,5.15934,1.01964,0,0,0,0,1.12967,5.39173,0.95898,0.00020586,0.00020586,0.00020586
14,247.425,1.30806,5.13239,1.05783,0,0,0,0,1.12967,5.39173,0.95898,0.000219911,0.000219911,0.000219911
15,265.491,1.24194,5.45591,1.01145,0.04524,0.33333,0.11135,0.08327,1.16735,5.26758,0.98419,0.000233667,0.000233667,0.000233667
16,282.098,1.22433,5.08776,1.03355,0.04524,0.33333,0.11135,0.08327,1.16735,5.26758,0.98419,0.000247129,0.000247129,0.000247129
17,299.57,1.27029,4.8671,1.02435,0.04524,0.33333,0.11135,0.08327,1.16735,5.26758,0.98419,0.000260296,0.000260296,0.000260296
18,317.259,1.40796,5.00545,1.04553,0.02068,0.41667,0.14787,0.11539,1.08322,5.15442,0.94504,0.000273168,0.000273168,0.000273168
19,340.271,1.15801,4.59571,1.00599,0.02068,0.41667,0.14787,0.11539,1.08322,5.15442,0.94504,0.000285746,0.000285746,0.000285746
20,359.464,1.31621,4.51429,1.07109,0.02068,0.41667,0.14787,0.11539,1.08322,5.15442,0.94504,0.00029803,0.00029803,0.00029803
21,377.348,1.17834,4.70133,1.05274,0.99293,0.08333,0.30403,0.22001,1.0712,4.8972,0.9369,0.000298095,0.000298095,0.000298095
22,394.458,1.34097,4.76343,1.018,0.99293,0.08333,0.30403,0.22001,1.0712,4.8972,0.9369,0.00029515,0.00029515,0.00029515
23,412.069,1.24297,4.44006,1.03715,0.99293,0.08333,0.30403,0.22001,1.0712,4.8972,0.9369,0.000292205,0.000292205,0.000292205
24,428.783,1.23494,4.71194,1.04143,0.77917,0.25,0.29712,0.21088,1.07222,4.5587,0.93681,0.000289259,0.000289259,0.000289259
25,445.428,1.18864,4.1962,1.03549,0.77917,0.25,0.29712,0.21088,1.07222,4.5587,0.93681,0.000286314,0.000286314,0.000286314
26,462.691,1.38549,4.40012,1.05998,0.77917,0.25,0.29712,0.21088,1.07222,4.5587,0.93681,0.000283369,0.000283369,0.000283369
27,479.251,1.16904,4.54357,1.00776,0.83977,0.25,0.40076,0.30458,1.0409,4.29571,0.94906,0.000280423,0.000280423,0.000280423
28,496.299,1.09024,3.97529,0.97934,0.83977,0.25,0.40076,0.30458,1.0409,4.29571,0.94906,0.000277478,0.000277478,0.000277478
29,513.437,1.00244,4.34211,0.95112,0.83977,0.25,0.40076,0.30458,1.0409,4.29571,0.94906,0.000274533,0.000274533,0.000274533
30,530.359,1.17268,4.17276,1.00468,0.84364,0.32396,0.48509,0.37659,1.05605,4.09137,0.96539,0.000271588,0.000271588,0.000271588
31,548.05,1.17955,4.15067,1.09204,0.84364,0.32396,0.48509,0.37659,1.05605,4.09137,0.96539,0.000268642,0.000268642,0.000268642
32,568.322,1.01416,3.82779,0.95965,0.84364,0.32396,0.48509,0.37659,1.05605,4.09137,0.96539,0.000265697,0.000265697,0.000265697
